TotalTime,ReviewCount,Calories,SugarContent,ProteinContent,RecipeServings,Rating,predictionBasedOnText,predictionBasedOnImage,IngredientCount,InstructionCount
265,151,145.8,6.1,4.6,16.0,5,5,2,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,4,4,4,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,4,4,4,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,0,5,0,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,0,0,4,14,11
265,151,145.8,6.1,4.6,16.0,4,4,4,14,11
265,151,145.8,6.1,4.6,16.0,0,0,0,14,11
265,151,145.8,6.1,4.6,16.0,0,2,0,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,3,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,3,3,3,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,4,5,4,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,4,5,1,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,0,2,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,4,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,3,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,2,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,0,5,4,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,0,14,11
265,151,145.8,6.1,4.6,16.0,5,5,0,14,11
265,151,145.8,6.1,4.6,16.0,3,3,3,14,11
265,151,145.8,6.1,4.6,16.0,4,4,5,14,11
265,151,145.8,6.1,4.6,16.0,4,5,4,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,0,5,0,14,11
265,151,145.8,6.1,4.6,16.0,5,5,3,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,0,14,11
265,151,145.8,6.1,4.6,16.0,2,2,4,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,0,14,11
265,151,145.8,6.1,4.6,16.0,5,5,1,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,0,5,0,14,11
265,151,145.8,6.1,4.6,16.0,0,5,0,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,0,5,0,14,11
265,151,145.8,6.1,4.6,16.0,0,0,0,14,11
265,151,145.8,6.1,4.6,16.0,0,0,1,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,0,5,0,14,11
265,151,145.8,6.1,4.6,16.0,1,1,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,5,5,2,14,11
265,151,145.8,6.1,4.6,16.0,2,2,2,14,11
265,151,145.8,6.1,4.6,16.0,4,4,4,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,4,5,4,14,11
265,151,145.8,6.1,4.6,16.0,0,4,2,14,11
265,151,145.8,6.1,4.6,16.0,0,5,0,14,11
265,151,145.8,6.1,4.6,16.0,4,5,4,14,11
265,151,145.8,6.1,4.6,16.0,0,5,4,14,11
265,151,145.8,6.1,4.6,16.0,2,2,2,14,11
265,151,145.8,6.1,4.6,16.0,1,1,2,14,11
265,151,145.8,6.1,4.6,16.0,0,1,0,14,11
265,151,145.8,6.1,4.6,16.0,5,0,4,14,11
265,151,145.8,6.1,4.6,16.0,3,4,3,14,11
265,151,145.8,6.1,4.6,16.0,5,5,3,14,11
265,151,145.8,6.1,4.6,16.0,4,5,4,14,11
265,151,145.8,6.1,4.6,16.0,4,4,4,14,11
265,151,145.8,6.1,4.6,16.0,5,5,0,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,0,0,0,14,11
265,151,145.8,6.1,4.6,16.0,0,0,0,14,11
265,151,145.8,6.1,4.6,16.0,0,0,0,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
265,151,145.8,6.1,4.6,16.0,0,0,0,14,11
265,151,145.8,6.1,4.6,16.0,0,0,0,14,11
265,151,145.8,6.1,4.6,16.0,0,5,0,14,11
265,151,145.8,6.1,4.6,16.0,5,5,5,14,11
115,5,151.4,0.9,5.9,48.0,5,5,5,7,10
115,5,151.4,0.9,5.9,48.0,5,5,5,7,10
115,5,151.4,0.9,5.9,48.0,4,4,4,7,10
115,5,151.4,0.9,5.9,48.0,5,5,5,7,10
115,5,151.4,0.9,5.9,48.0,0,0,0,7,10
23,86,160.7,1.4,2.8,9.0,5,5,2,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,4,4,2,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,5,5,4,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,4,5,4,6,8
23,86,160.7,1.4,2.8,9.0,5,5,4,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,3,3,2,6,8
23,86,160.7,1.4,2.8,9.0,4,4,4,6,8
23,86,160.7,1.4,2.8,9.0,5,5,5,6,8
23,86,160.7,1.4,2.8,9.0,4,5,4,6,8
